,station_id,name,latitude,longitude,dockcount,landmark,installation_date,trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
101,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1062796,294,01/15/2016 17:36:00,Redwood City Caltrain Station,22,01/15/2016 17:41:00,Mezes,83,246,94063,Subscriber
102,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1121477,275,03/10/2016 18:08:00,Redwood City Caltrain Station,22,03/10/2016 18:13:00,Mezes,83,246,94063,Subscriber
103,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1079608,293,02/02/2016 18:07:00,Redwood City Caltrain Station,22,02/02/2016 18:12:00,Mezes,83,690,94063,Subscriber
104,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1014801,253,11/18/2015 18:07:00,Redwood City Caltrain Station,22,11/18/2015 18:11:00,Mezes,83,28,94063,Subscriber
105,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,952596,255,09/30/2015 19:07:00,Redwood City Caltrain Station,22,09/30/2015 19:11:00,Mezes,83,102,94063,Subscriber
106,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1051301,428,01/04/2016 17:08:00,Redwood City Caltrain Station,22,01/04/2016 17:15:00,Mezes,83,185,94063,Subscriber
107,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1007669,255,11/12/2015 18:11:00,Redwood City Caltrain Station,22,11/12/2015 18:15:00,Mezes,83,182,94063,Subscriber
108,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1097908,341,02/18/2016 17:34:00,Redwood City Caltrain Station,22,02/18/2016 17:40:00,Mezes,83,127,94063,Subscriber
109,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,958062,242,10/05/2015 18:09:00,Redwood City Caltrain Station,22,10/05/2015 18:13:00,Mezes,83,102,94063,Subscriber
110,22,Redwood City Caltrain Station,37.486078000000006,-122.23208899999999,25,Redwood City,08/15/2013 0:00:00,1025865,244,12/01/2015 18:10:00,Redwood City Caltrain Station,22,12/01/2015 18:14:00,Mezes,83,246,94063,Subscriber
